8001389c	84	vinit
800138f0	4	vgetmaxsize
8001393c	4	vgetfreesize
80013980	460	valloc
80013b4c	520	vrealloc
80013d54	84	vcalloc
80013da8	264	vfree
80013eb0	12	vsize
80013ebc	784	vmemoryGC
800141cc	48	SystemOut
800141fc	316	InitGraphicsSystem
80014338	212	InitLighting
8001440c	392	SetupLighting
80014594	124	StartDrawing
80014610	196	EndDrawing
800146d4	52	UpdateCoordinate
80014708	52	UpdateCoordinate2
8001473c	124	GetAbsolutePosition
800147b8	300	DrawClip
800148e4	180	LoadModel
80014998	336	DrawModel
80014ae8	36	DisposeModel
80014b0c	164	CreateCloneModel
80014bb0	764	LoadModelArchive
80014eac	492	DrawModelArchive
80015098	140	DisposeModelArchive
80015124	424	CreateCloneModelArchive
800152cc	148	LoadOrnament
80015360	72	DrawOrnament
800153a8	36	DisposeOrnament
800153cc	132	CreateCloneOrnament
80015450	96	UpdateOrnament
800154b0	472	SetupSprite
80015688	448	DrawSprite
80015848	36	DisposeSprite
8001586c	1124	SetupBG
80015cd0	68	DrawBG
80015d14	84	DisposeBG
80015d68	60	ViewAdjustBG
80015da4	184	LoadTIM
80015e5c	32	GetTIMInfo
80015e7c	288	LoadTIMpack
80015f9c	124	GetTIMpackInfo
80016018	104	InitSoundEffect
80016080	188	SetupSE
8001613c	80	DisposeSE
8001618c	284	PlaySE
800162a8	60	StopSE
800162e4	352	InitFileSystem
80016444	60	InitAccessInfo
80016480	292	cbAccess
800165a4	60	PrepareAccess
800165e0	232	FileRead
800166c8	56	PathFileRead
80016700	128	FileWrite
80016780	260	LoadFromDEVPC
80016884	868	LoadFromMEMORY
80016be8	284	LoadFromCDROM
80016d10	16	SetDepthQ
80016d20	168	DrawTMD
80016dc8	296	drawF3
80016ef0	344	drawFT3
80017048	328	drawF4
80017190	392	drawFT4
80017318	320	drawG3
80017458	368	drawGT3
800175c8	364	drawG4
80017734	428	drawGT4
800178e0	324	drawzF3
80017a24	372	drawzFT3
80017b98	376	drawzF4
80017d10	440	drawzFT4
80017ec8	348	drawzG3
80018024	396	drawzGT3
800181b0	412	drawzG4
8001834c	476	drawzGT4
80018528	180	LoadAreaMap
800185dc	60	DisposeAreaMap
80018618	416	ComputeAreaLevel
800187b8	1128	GetAreaMapLevel
80018c20	584	GetAreaMapVector
80018e68	584	GetAreaMapPassage
800190b0	328	InitConflict
800191f8	328	InsertConflict
80019340	300	DeleteConflict
8001946c	832	ComputeAllConflict
800197ac	388	GetConflictResult
80019930	84	InitPadControl
80019984	100	PadShock
800199e8	856	ComPad
80019d40	28	PadShockAR
80019d5c	372	PadProc
80019ed0	92	GetRealPad
80019f2c	72	GetPadXY
80019f74	84	GetPad
80019fc8	172	SetPad
8001a074	280	GetCommand
8001a18c	260	SetCommand
8001a290	244	LoadMotion
8001a384	364	SearchMotion
8001a4f0	144	SetupMotionRegist
