#addr	size	name	source	provenance
0x8001eab0	32	CdMix	main	-
0x8001eb54	260	CdIntToPos	main	-
0x8001ec58	128	CdPosToInt	main	-
0x8001ecd8	1372	FUN_80060ea4	main	-
0x8001f234	640	CD_sync	main	-
0x8001f4b4	712	CD_ready	main	-
0x8001f77c	1036	CD_cw	main	-
0x8001fb88	136	CD_vol	main	-
0x8001fc10	212	CD_flush	main	-
0x8001fce4	240	CD_initvol	main	-
0x8001fdd4	76	CD_initintr	main	-
0x8001fe20	480	CD_init	main	-
0x80020000	360	CD_datasync	main	-
0x80020168	256	CD_getsector	main	-
0x80020268	236	CD_getsector2	main	-
0x80020360	216	FUN_8006252c	main	-
0x80020438	264	CdSearchFile	main	-
0x80020540	412	ISO9660_OBJ_108	main	-
0x80020710	32	ISO9660_OBJ_2D8	main	-
0x80020730	668	ISO9660_OBJ_2F8	main	-
0x800209f4	132	ISO9660_OBJ_5BC	main	-
0x80020a98	372	ISO9660_OBJ_660	main	-
0x80020c28	228	ISO9660_OBJ_7F0	main	-
0x80020d34	104	ISO9660_OBJ_8FC	main	-
0x80020da8	52	CDR_1_OBJ_0	main	-
0x80020ddc	160	CDR_1_OBJ_34	main	-
0x80020e7c	196	CDR_1_OBJ_D4	main	-
0x80020f44	268	CDR_1_OBJ_19C	main	-
0x80021050	208	CDR_1_OBJ_2A8	main	-
0x80021120	464	CDR_1_OBJ_378	main	-
0x80021308	212	CdReadBreak	main	-
0x800213dc	184	CDR_1_OBJ_634	main	-
0x800214a8	124	CdRead	main	-
0x80021524	72	CDR_1_OBJ_77C	main	-
0x80021598	172	CDR_1_OBJ_7F0	main	-
0x80021644	152	CdReadSync	main	-
0x800216dc	108	CDR_1_OBJ_934	main	-
0x80021828	376	CdReadFile	main	-
0x800219a0	216	CdReadExec	main	-
0x80021a78	96	StClearRing	demo	ghidra
0x80021ad8	128	StUnSetRing	demo	ghidra
0x80021bd8	140	data_ready_callback	demo	ghidra
0x80021c64	88	StGetBackloc	demo	ghidra
0x80021cc8	132	StSetStream	demo	ghidra
0x80021d58	172	StFreeRing	demo	ghidra
0x80022a18	796	FUN_80063b94	main	-
0x80022d34	416	GsInitFixBg16	main	-
0x80022ef8	452	GsSortPoly	main	-
0x800230c8	152	_make_packet	main	-
0x80023168	576	GsSortSprite	main	-
0x800233a8	328	_2D_SP0_OBJ_240	main	-
0x800234f0	64	_2D_SP0_OBJ_388	main	-
0x80023530	248	_2D_SP0_OBJ_3C8	main	-
0x80023628	56	_2D_SP0_OBJ_4C0	main	-
0x80023668	116	GsInitGraph	main	-
0x800236dc	284	GS_001_OBJ_74	main	-
0x800237f8	104	GsInitGraph2	main	-
0x80023860	544	GS_001_OBJ_1F8	main	-
0x80023a80	264	GsSortClear	main	-
0x80023b88	48	GS_001_OBJ_520	main	-
0x80023bc8	244	GsSetDrawBuffOffset	main	-
0x80023cd8	120	GsSetDrawBuffClip	main	-
0x80023d58	164	GsSwapDispBuff	main	-
0x80023e08	112	GsInitCoordinate2	main	-
0x80023e78	44	GsInitCoord2param	main	-
0x80023ed0	148	GsSetLightMatrix	main	-
0x80023f64	48	GsSetLightMatrix2	main	-
0x80023f94	144	GsMulCoord0	main	-
0x80024024	128	GsMulCoord2	main	-
0x800240a4	128	GsMulCoord3	main	-
0x80024124	112	print_matrix	main	-
