#addr	size	name	source	provenance
0x800278a8	32	PCcreat	main	-
0x800278c8	168	__SN_ENTRY_POINT	main	-
0x80027970	112	__main	main	-
0x800279e0	104	__do_global_dtors	main	-
0x80027c14	44	StSetRing	demo	ghidra
0x80027c44	128	CdInit	main	-
0x80027cd4	44	EVENT_OBJ_90	main	-
0x80027de0	108	CdReset	main	-
0x80027f50	316	CdControl	main	-
0x8002808c	308	CdControlF	main	-
0x800281c0	332	CdControlB	main	-
0x8002830c	32	CdMix	main	-
0x800283b0	260	CdIntToPos	main	-
0x800284b4	128	CdPosToInt	main	-
0x80028534	1372	FUN_80060ea4	main	-
0x80028a90	640	CD_sync	main	-
0x80028d10	712	CD_ready	main	-
0x80028fd8	1036	CD_cw	main	-
0x800293e4	136	CD_vol	main	-
0x8002946c	212	CD_flush	main	-
0x80029540	240	CD_initvol	main	-
0x80029630	76	CD_initintr	main	-
0x8002967c	480	CD_init	main	-
0x8002985c	360	CD_datasync	main	-
0x800299c4	256	CD_getsector	main	-
0x80029ac4	236	CD_getsector2	main	-
0x80029bbc	216	FUN_8006252c	main	-
0x80029c94	264	CdSearchFile	main	-
0x80029d9c	412	ISO9660_OBJ_108	main	-
0x80029f6c	32	ISO9660_OBJ_2D8	main	-
0x80029f8c	668	ISO9660_OBJ_2F8	main	-
0x8002a250	132	ISO9660_OBJ_5BC	main	-
0x8002a2f4	372	ISO9660_OBJ_660	main	-
0x8002a484	228	ISO9660_OBJ_7F0	main	-
0x8002a590	104	ISO9660_OBJ_8FC	main	-
0x8002a604	52	CDR_1_OBJ_0	main	-
0x8002a638	160	CDR_1_OBJ_34	main	-
0x8002a6d8	196	CDR_1_OBJ_D4	main	-
0x8002a7a0	268	CDR_1_OBJ_19C	main	-
0x8002a8ac	208	CDR_1_OBJ_2A8	main	-
0x8002a97c	464	CDR_1_OBJ_378	main	-
0x8002ab64	212	CdReadBreak	main	-
0x8002ac38	184	CDR_1_OBJ_634	main	-
0x8002ad04	124	CdRead	main	-
0x8002ad80	72	CDR_1_OBJ_77C	main	-
0x8002adf4	172	CDR_1_OBJ_7F0	main	-
0x8002aea0	152	CdReadSync	main	-
0x8002af38	108	CDR_1_OBJ_934	main	-
0x8002b084	376	CdReadFile	main	-
0x8002b1fc	216	CdReadExec	main	-
0x8002b2d4	96	StClearRing	demo	ghidra
