#addr	size	name
0x80029814	676	ActSYURI
0x80029ab8	572	ActITEM
0x80029cf4	1548	ActDAMAGE
0x8002a300	1688	ActDEAD
0x8002a998	176	SetNowMotion
0x8002aa48	196	NowReturnNormal
0x8002ab0c	48	dispose_weapon_data_of_char_
0x8002ab3c	280	FUN_8002ab3c
0x8002ac54	108	FUN_8002ac54
0x8002acc0	100	ReturnNormal
0x8002ad24	104	FUN_8002ad24
0x8002ad8c	380	AttackCancelControl
0x8002af08	108	AttackGunControl
0x8002af74	308	bow_shoot_logic
0x8002b0a8	168	AttackPQD
0x8002b150	232	AttackFire
0x8002b238	204	ItemControl
0x8002b304	508	CreateHumanoid
0x8002b500	292	KillHumanoid
0x8002b624	1324	FUN_8002b624
0x8002bb50	2588	FUN_8002bb50
0x8002c56c	1144	FUN_8002c56c
0x8002c9e4	868	FUN_8002c9e4
0x8002cd48	140	FUN_8002cd48
0x8002cdd4	260	update_something_for_each_visible_enemy_
0x8002ced8	112	GetHumanoid
0x8002cf48	80	is_character_state_present_on_stage_
0x8002cf98	308	MoveHumanoid
0x8002d0cc	204	GetMoveSpeed
0x8002d198	104	GetDirection
0x8002d200	208	GetTargetDistance
0x8002d2d0	364	GetNearestHumanoid
0x8002d43c	224	FUN_8002d43c
0x8002d51c	940	SetupAppearance
0x8002d8c8	372	SetupCharacterParameter
0x8002da3c	620	FUN_8002da3c
0x8002dca8	500	GetWeaponData
0x8002de9c	1128	SetupWeapon
0x8002e304	140	GetAttackDBID
0x8002e390	104	DisposeWeapon
0x8002e3f8	240	EquipWeapon
0x8002e4e8	3776	FUN_8002e4e8
0x8002f3a8	480	turn_towards_player_
0x8002f588	328	ChasetoTarget
0x8002f6d0	1824	FUN_8002f6d0
0x8002fdf0	372	Think1random
0x8002ff64	356	Think1ninja
0x800300c8	1228	Think1chase
0x80030594	440	FUN_80030594
0x8003074c	316	Think3chase
0x80030888	1136	Think3attack
0x80030cf8	280	Think3escape
0x80030e10	844	Think3area
0x8003115c	388	Think3hitaway
0x800312e0	260	Think3firstattack
0x800313e4	268	ItemUse
0x800314f0	1668	AttackShort
0x80031b74	1444	AttackGeneral
0x80032118	1248	AttackLong
0x800325f8	848	AttackIndirect
0x80032948	228	AttackAnimal
0x80032a2c	380	FUN_80032a2c
0x80032ba8	384	Think4contact
0x80032d28	404	Think4chase
0x80032ebc	184	SetupThinkFunction
0x80032f74	280	FUN_80032f74
0x8003308c	176	Think1watch
0x8003313c	140	Think1sleep
0x800331c8	48	Think2confirm
0x800331f8	140	Think2contact
0x80033284	268	SuccessionAttack
0x80033390	468	SnapCameraTargetVector
0x80033564	792	FUN_80033564
0x8003387c	732	MakeDifSub
0x80033b58	692	AntiWall
0x80033e0c	296	FUN_80033e0c
0x80033f34	628	debug_output_edit_camera_settings
0x800341a8	660	MakeCameraPosition
0x8003443c	2628	CameraType1
0x80034e80	832	SetCameraMode
0x800351c0	632	Camera
0x80035438	860	CameraDirection
0x80035794	188	initialise_default_player_cameras_
0x80035850	252	MakeDif
0x8003594c	904	InitEffect
0x80035cd4	260	DrawTargetS
0x80035dd8	2160	DrawBlood
0x80036648	772	SetBlood
0x8003694c	504	DrawSmoke
0x80036b44	788	SetSmoke
0x80036e58	496	SetSmokeS
0x80037048	848	FUN_80037048
0x80037398	772	DrawImpact
0x8003769c	360	SetImpact
0x80037804	532	DrawBleed
0x80037a18	1108	SetBleeds
0x80037e6c	984	DrawSplash
