8001768c	488	DrawModelArchive
80017874	420	CreateCloneModelArchive
80017a18	464	SetupSprite
80017be8	444	DrawSprite
80017da4	1072	SetupBG
800181d4	116	StartDrawing
80018248	48	UpdateCoordinate
80018278	48	FUN_80018278
800182a8	120	GetAbsolutePosition
80018320	296	DrawClip
80018448	176	LoadModel
800184f8	36	DisposeModel
8001851c	160	FUN_8001851c
800185bc	136	DisposeModelArchive
80018644	144	LoadOrnament
800186d4	68	DrawOrnament
80018718	36	DisposeOrnament
8001873c	128	CreateCloneOrnament
800187bc	92	UpdateOrnament
80018818	68	DrawBG
8001885c	80	DisposeBG
800188ac	44	LoadTIMAndFree
800188d8	44	LoadTIMpackAndFree
80018904	176	LoadTIM
800189b4	276	LoadTIMpack
80018ac8	32	GetTIMInfo
80018ae8	124	GetTIMpackInfo
80018b64	284	PlaySE
80018c80	104	InitSoundEffect
80018ce8	184	SetupSE
80018da0	76	DisposeSE
80018dec	276	cbAccess
80018f00	272	FUN_80018f00
80019010	228	FileRead
800190f4	324	FUN_800190f4
80019238	348	InitFileSystem
80019394	56	PathFileRead
800193cc	124	FileWrite
80019448	172	LoadExecEx
800194f4	56	InitAccessInfo
8001952c	256	LoadFromDEVPC
8001962c	36	LoadFromMEMORY
80019650	280	LoadFromCDROM
80019768	60	PrepareAccess
800197a4	200	LoadAreaMap
8001986c	420	ComputeAreaLevel
80019a10	1168	GetAreaMapLevel
80019ea0	548	GetAreaMapVector
8001a0c4	580	GetAreaMapPassage
8001a308	316	InitConflict
8001a444	312	InsertConflict
8001a57c	268	DeleteConflict
8001a688	816	ComputeAllConflict
8001a9b8	368	GetConflictResult
8001ab28	60	DisposeAreaMap
8001ab64	60	FUN_8001ab64
8001aba0	36	FUN_8001aba0
8001abc4	480	ComPad
8001ada4	368	PadProc
8001af14	292	GetCommand
8001b038	268	SetCommand
8001b144	48	GetPad
8001b174	48	FUN_8001b174
8001b1a4	188	FUN_8001b1a4
8001b260	88	GetRealPad
8001b2b8	60	FUN_8001b2b8
8001b2f4	112	FUN_8001b2f4
8001b364	160	InitPadControl
8001b404	96	PadShock
8001b464	28	PadShockAR
8001b480	60	GetPadXY
8001b4bc	36	FUN_8001b4bc
8001b4e0	52	FUN_8001b4e0
8001b514	328	SearchMotion
8001b65c	632	UpdateMotion
8001b8d4	336	HoldMotion
8001ba24	984	SweepMotion
8001bdfc	452	ActiveMotion
8001bfc0	432	UpdateSplineControl
8001c170	336	GetSpline
8001c2c0	240	LoadMotion
8001c3b0	140	SetupMotionRegist
8001c43c	156	SetupMotionManager
8001c4d8	56	DisposeMotionManager
8001c510	116	GetMotionID
8001c584	188	PlayMotion
8001c640	240	SetupSpline
8001c730	220	FUN_8001c730
8001c80c	292	HumanActionControl
8001c930	864	SwimCheck
8001cc90	544	FallCheck
8001ceb0	1220	HangCheck
8001d374	256	StickonCheck
8001d474	584	JumpControl
8001d6bc	5812	DamageControl
8001ed70	1040	AttackControl
8001f180	420	AttackContinuousCheck
8001f324	644	WeaponHitWeapon
8001f5a8	272	AttackBowControl
8001f6b8	300	FUN_8001f6b8
8001f7e4	948	ActNORMAL
8001fb98	1392	FUN_8001fb98
80020108	860	ActMOVE
80020464	1500	ActSWIM
80020a40	2096	ActKAGI
80021270	1388	ActENGAGE
800217dc	1416	ActCHASE
80021d64	6648	ActATTACK
8002375c	2680	ActSTATE
800241d4	1396	ActJUMP
80024748	700	ActHANG
80024a04	1820	ActSQUAT
80025120	3248	ActSTICKON
80025dd0	676	ActSYURI
80026074	572	FUN_80026074
800262b0	1548	ActDAMAGE
800268bc	1680	FUN_800268bc
80026f4c	8	FUN_80026f4c
80026f54	176	SetNowMotion
80027004	196	NowReturnNormal
800270c8	48	FUN_800270c8
800270f8	280	FUN_800270f8
80027210	144	MotionAndMove
800272a0	100	ReturnNormal
80027304	104	FUN_80027304
8002736c	380	AttackCancelControl
800274e8	108	FUN_800274e8
80027554	308	FUN_80027554
80027688	168	FUN_80027688
80027730	232	FUN_80027730
80027818	196	FUN_80027818
800278dc	8	ActCEILHANG
800278e4	508	CreateHumanoid
80027ae0	1576	ControlHumanoid
80028108	2624	DefaultActionHumanoid
80028b48	1128	SearchTarget
80028fb0	504	ControlTraceLine
800291a8	252	KillHumanoid
800292a4	196	ControlAllHumanoid
80029368	260	FUN_80029368
8002946c	112	GetHumanoid
800294dc	80	FUN_800294dc
8002952c	308	MoveHumanoid
80029660	204	GetMoveSpeed
8002972c	104	GetDirection
80029794	208	GetTargetDistance
80029864	364	GetNearestHumanoid
800299d0	212	SetupTraceLine
80029aa4	1024	SetupAppearance
80029ea4	372	SetupCharacterParameter
8002a018	628	BreedLife
8002a290	500	GetWeaponData
8002a484	1128	SetupWeapon
8002a8ec	140	GetAttackDBID
8002a978	104	DisposeWeapon
8002a9e0	240	EquipWeapon
8002aad0	3776	StateTransition
8002b990	480	FUN_8002b990
8002bb70	328	ChasetoTarget
8002bcb8	820	FUN_8002bcb8
8002bfec	216	Think1trace
8002c0c4	372	Think1random
8002c238	356	Think1ninja
8002c39c	376	Think1chase
8002c514	856	Think1target
8002c86c	1392	FUN_8002c86c
8002cddc	408	Think3callaid
8002cf74	316	Think3chase
8002d0b0	1136	Think3attack
8002d520	280	Think3escape
8002d638	844	FUN_8002d638
8002d984	388	Think3hitaway
8002db08	260	Think3firstattack
8002dc0c	268	ItemUse
8002dd18	1668	AttackShort
8002e39c	1444	AttackGeneral
8002e940	1248	AttackLong
8002ee20	848	AttackIndirect
8002f170	228	AttackAnimal
8002f254	468	Think4abandon
8002f428	384	Think4contact
8002f5a8	404	Think4chase
8002f73c	184	SetupThinkFunction
8002f7f4	36	FUN_8002f7f4
8002f818	8	ThinkBasicNone
8002f820	164	ThinkBasicHuman1
8002f8c4	36	ThinkBasicHuman2
8002f8e8	176	Think1watch
8002f998	140	Think1sleep
8002fa24	48	Think2confirm
8002fa54	104	FUN_8002fa54
