#addr	size	name
0x80025b58	80	initialise_font
0x80025ba8	164	FUN_80025ba8
0x80025c4c	388	FUN_80025c4c
0x80025dd0	132	FUN_80025dd0
0x80025e54	332	FUN_80025e54
0x80025fa0	564	AfsGetEntry
0x800261d4	560	AfsFindFile
0x80026404	204	AfsOpenVolume
0x800264d0	100	AfsInit
0x80026534	80	AfsFilenameFix
0x80026584	156	AfsOpen
0x80026620	56	FUN_80026620
0x80026658	64	AfsFileSize
0x80026698	196	AfsRead
0x8002675c	180	subAfsFindFile
0x80026810	184	AfsGetHeader
0x800268c8	264	cd_open
0x800269d0	528	FUN_800269d0
0x80026be0	164	cd_read
0x80026c84	220	cd_seek
0x80026d60	40	cd_init
0x80026d88	152	cd_control
0x80026e20	36	FUN_80026e20
0x80026e44	356	AdtGetDisp
0x80026fa8	624	AdtMessageBox
0x80027218	20	FUN_80027218
0x8002722c	136	AdtFntOpen
0x800272b4	64	AdtFntLoad
0x800272f4	152	AdtReleaseDisp
0x8002738c	252	AdtVsprintf
0x80027488	80	FUN_80027488
0x800274d8	68	FUN_800274d8
0x8002751c	776	AdtSelect
0x80027824	16	FUN_80027824
0x80027834	16	FUN_80027834
0x80027844	16	FUN_80027844
0x80027854	32	PCopen
0x80027874	16	FUN_80027874
0x80027884	36	PClseek
0x800278a8	32	PCcreat
0x800278c8	168	__SN_ENTRY_POINT
0x80027970	112	__main
0x800279e0	104	__do_global_dtors
0x80027a48	16	FUN_80027a48
0x80027a58	12	FUN_80027a58
0x80027a64	192	FUN_80027a64
0x80027b24	24	FUN_80027b24
0x80027b3c	192	FUN_80027b3c
0x80027bfc	24	FUN_80027bfc
0x80027c14	48	StSetRing
0x80027c44	144	CdInit
0x80027cd4	192	EVENT_OBJ_90
0x80027d94	16	FUN_80027d94
0x80027da4	16	FUN_80027da4
0x80027db4	16	FUN_80027db4
0x80027dc4	16	FUN_80027dc4
0x80027dd4	12	FUN_80027dd4
0x80027de0	108	CdReset
0x80027e4c	156	FUN_80027e4c
0x80027ee8	32	FUN_80027ee8
0x80027f08	32	FUN_80027f08
0x80027f28	20	FUN_80027f28
0x80027f3c	20	FUN_80027f3c
0x80027f50	316	CdControl
0x8002808c	308	CdControlF
0x800281c0	332	CdControlB
0x8002830c	32	CdMix
0x8002832c	32	FUN_8002832c
0x8002834c	32	FUN_8002834c
0x8002836c	36	FUN_8002836c
0x80028390	32	FUN_80028390
0x800283b0	260	CdIntToPos
0x800284b4	128	CdPosToInt
0x80028534	1372	FUN_80028534
0x80028a90	640	CD_sync
0x80028d10	712	CD_ready
0x80028fd8	1036	CD_cw
0x800293e4	136	CD_vol
0x8002946c	212	CD_flush
0x80029540	240	CD_initvol
0x80029630	76	CD_initintr
0x8002967c	480	CD_init
0x8002985c	360	CD_datasync
0x800299c4	256	CD_getsector
0x80029ac4	248	CD_getsector2
0x80029bbc	216	FUN_80029bbc
0x80029c94	728	CdSearchFile
0x80029f6c	32	ISO9660_OBJ_2D8
0x80029f8c	708	ISO9660_OBJ_2F8
0x8002a250	164	ISO9660_OBJ_5BC
0x8002a2f4	668	ISO9660_OBJ_660
0x8002a590	116	ISO9660_OBJ_8FC
0x8002a604	52	CDR_1_OBJ_0
0x8002a638	628	CDR_1_OBJ_34
0x8002a8ac	208	CDR_1_OBJ_2A8
0x8002a97c	488	CDR_1_OBJ_378
0x8002ab64	416	CdReadBreak
0x8002ad04	240	CdRead
0x8002adf4	172	CDR_1_OBJ_7F0
0x8002aea0	308	CdReadSync
0x8002afd4	176	FUN_8002afd4
0x8002b084	376	CdReadFile
0x8002b1fc	216	CdReadExec
0x8002b2d4	96	StClearRing
0x8002b334	128	StUnSetRing
0x8002b3b4	16	FUN_8002b3b4
0x8002b3c4	16	FUN_8002b3c4
0x8002b3d4	140	data_ready_callback
0x8002b460	100	StGetBackloc
0x8002b4c4	144	StSetStream
0x8002b554	176	StFreeRing
0x8002b604	64	FUN_8002b604
0x8002b644	192	FUN_8002b644
0x8002b704	32	FUN_8002b704
0x8002b724	2332	FUN_8002b724
0x8002c040	44	FUN_8002c040
0x8002c06c	424	FUN_8002c06c
0x8002c214	796	FUN_8002c214
0x8002c530	452	GsInitFixBg16
0x8002c6f4	464	GsSortPoly
0x8002c8c4	160	_make_packet
0x8002c964	1280	GsSortSprite
0x8002ce64	116	GsInitGraph
0x8002ced8	284	GS_001_OBJ_74
0x8002cff4	104	GsInitGraph2
0x8002d05c	544	GS_001_OBJ_1F8
0x8002d27c	264	GsSortClear
0x8002d384	64	GS_001_OBJ_520
0x8002d3c4	272	GsSetDrawBuffOffset
0x8002d4d4	128	GsSetDrawBuffClip
0x8002d554	176	GsSwapDispBuff
0x8002d604	112	GsInitCoordinate2
0x8002d674	44	GsInitCoord2param
0x8002d6a0	44	FUN_8002d6a0
0x8002d6cc	148	GsSetLightMatrix
0x8002d760	48	GsSetLightMatrix2
0x8002d790	144	GsMulCoord0
0x8002d820	128	GsMulCoord2
0x8002d8a0	128	GsMulCoord3
0x8002d920	112	print_matrix
0x8002d990	52	print_vector
0x8002d9c4	16	FUN_8002d9c4
0x8002d9d4	160	GsDefDispBuff
0x8002da74	128	GsInit3D
0x8002daf4	112	GsMapModelingData
0x8002db64	32	FUN_8002db64
0x8002db84	1208	GsSetFlatLight
0x8002e03c	100	GS_107_OBJ_4B8
0x8002e0a0	84	GS_107_OBJ_51C
0x8002e0f4	128	GsSetLightMode
0x8002e174	80	GsSetFogParam
0x8002e1c4	48	GsSetAmbient
0x8002e1f4	48	GsDrawOt
0x8002e224	96	GsClearOt
0x8002e284	80	gte_init
0x8002e2d4	240	GsGetTimInfo
0x8002e3c4	208	Gssub_make_matrix
0x8002e494	16	FUN_8002e494
0x8002e4a4	16	FUN_8002e4a4
0x8002e4b4	976	GsSetRefView2
0x8002e884	236	GS_131_OBJ_3D0
0x8002e970	200	GS_131_OBJ_4BC
0x8002ea38	28	FUN_8002ea38
0x8002ea54	192	gte_rotate_z_matrix
0x8002eb14	540	FUN_8002eb14
0x8002ed30	164	GS_133_OBJ_21C
0x8002edd4	540	FUN_8002edd4
0x8002eff0	180	GS_134_OBJ_21C
0x8002f0a4	400	GsLinkObject4
0x8002f234	2192	GsSortObject4
0x8002fac4	512	GsTMDfastG3GL
0x8002fcc4	512	GsTMDfastG3GLFG
0x8002fec4	368	GsTMDfastG3GNL
0x80030034	544	GsTMDfastF3GL
0x80030254	544	GsTMDfastF3GLFG
0x80030474	384	GsTMDfastF3GNL
0x800305f4	1776	GsTMDfastF4GL
0x80030ce4	640	GsTMDfastG4GL
0x80030f64	640	GsTMDfastG4GLFG
0x800311e4	448	GsTMDfastG4GNL
0x800313a4	176	SsEnd
0x80031454	64	SsInit
0x80031494	240	_SsInit
0x80031584	32	FUN_80031584
0x800315a4	192	SsSetSerialAttr
0x80031664	80	SsSetMVol
0x800316b4	560	SSSTART_OBJ_0
0x800318e4	64	SsStart
0x80031924	76	SSSTART_OBJ_270
0x80031970	84	SSSTART_OBJ_2BC
0x800319c4	156	SetRCnt
0x80031a60	56	GetRCnt
0x80031a98	48	StartRCnt
0x80031ac8	52	StopRCnt
0x80031afc	56	ResetRCnt
0x80031b34	624	SsSeqCalledTbyT
0x80031da4	528	_SsSndCrescendo
0x80031fb4	160	_SsSndPause
0x80032054	48	FUN_80032054
0x80032084	252	_SsSeqPlay
0x80032180	580	_SsSeqGetEof
0x800323c4	944	_SsGetSeqData
0x80032774	176	_SsReadDeltaValue
0x80032824	256	_SsSndNextSep
0x80032924	96	_SsSndReplay
0x80032984	384	_SsSndStop
0x80032b04	96	SsSeqStop
0x80032b64	272	SsSetSerialVol
0x80032c74	76	SsSetTickMode
0x80032cc0	260	SSTICK_OBJ_4C
0x80032dc4	544	_SsSndTempo
0x80032fe4	320	SsUtAllKeyOff
0x80033124	112	SsUtAutoPan
0x80033194	840	SsUtKeyOnV
0x800334dc	120	SsUtKeyOffV
0x80033554	464	FUN_80033554
0x80033724	620	SeAutoPan
0x80033990	868	SetAutoPan
0x80033cf4	16	FUN_80033cf4
0x80033d04	1168	_SsVmFlush
0x80034194	848	_SsVmInit
0x800344e4	52	note2pitch
0x80034518	104	note2pitch2
0x80034580	292	SsPitchFromNote
0x800346a4	1408	vmNoiseOn
0x80034c24	208	_SsVmKeyOffNow
0x80034cf4	1232	_SsVmKeyOnNow
0x800351c4	1412	_SsVmSetSeqVol
0x80035748	244	_SsVmGetSeqVol
0x8003583c	184	_SsVmSeqKeyOff
0x800358f4	192	_SsVmVSetUp
0x800359b4	16	FUN_800359b4
0x800359c4	16	FUN_800359c4
0x800359d4	128	SsVabClose
0x80035a54	52	SsVabOpenHead
0x80035a88	220	VS_VH2_OBJ_34
0x80035b64	992	_SsVabOpenHeadWithMode
0x80035f44	192	SsVabTransBody
0x80036004	48	SsVabTransCompleted
0x80036034	32	FUN_80036034
0x80036054	232	_SpuInit
0x8003613c	120	SpuStart
0x800361b4	16	FUN_800361b4
0x800361c4	16	FUN_800361c4
0x800361d4	212	_spu_init
0x800362a8	428	SPU_OBJ_D4
0x80036454	448	SPU_OBJ_280
0x80036614	188	_spu_FiDMA
0x800366d0	168	_spu_Fr_
0x80036778	640	_spu_t
0x800369f8	132	_spu_Fw
0x80036a7c	100	_spu_Fr
0x80036ae0	68	_spu_FsetRXX
0x80036b24	164	_spu_FsetRXXa
0x80036bc8	60	_spu_FgetRXXa
0x80036c04	88	_spu_FsetPCR
0x80036c5c	40	FUN_80036c5c
0x80036c84	40	FUN_80036c84
0x80036cac	104	_spu_Fw1ts
0x80036d14	48	FUN_80036d14
0x80036d44	128	SpuQuit
0x80036dc4	16	FUN_80036dc4
0x80036dd4	16	FUN_80036dd4
0x80036de4	96	SpuInitMalloc
0x80036e44	84	SpuMalloc
0x80036e98	636	S_M_M_OBJ_54
0x80037114	768	_spu_gcSPU
0x80037414	128	SpuFree
0x80037494	48	FUN_80037494
0x800374c4	704	_SpuSetAnyVoice
0x80037784	80	SpuSetNoiseClock
0x800377d4	48	FUN_800377d4
0x80037804	416	SpuClearReverbWorkArea
0x800379a4	16	FUN_800379a4
0x800379b4	128	_SpuIsInAllocateArea
0x80037a34	144	_SpuIsInAllocateArea_
0x80037ac4	448	SpuSetKey
0x80037c84	96	SpuRead
0x80037ce4	96	SpuSetTransferStartAddr
0x80037d44	48	FUN_80037d44
0x80037d74	176	SpuIsTransferCompleted
0x80037e24	16	FUN_80037e24
0x80037e34	40	FUN_80037e34
0x80037e5c	24	FUN_80037e5c
0x80037e74	896	SpuSetCommonAttr
0x800381f4	1536	SpuSetVoiceAttr
0x800387f4	208	_spu_note2pitch
0x800388c4	136	_spu_pitch2note
0x8003894c	104	S_N2P_OBJ_158
0x800389b4	64	S_N2P_OBJ_1C0
